artist_id,artist_genres
5dbuFbrHa1SJlQhQX9OUJ2,soft rock
5dbuFbrHa1SJlQhQX9OUJ2,yacht rock
218kRJZ7FJs0hWIk8Ynzhz,arkansas country
218kRJZ7FJs0hWIk8Ynzhz,country
218kRJZ7FJs0hWIk8Ynzhz,nashville sound
0Y5tJX1MQlPlqiwlOH1tJY,hip hop
0Y5tJX1MQlPlqiwlOH1tJY,rap
0Y5tJX1MQlPlqiwlOH1tJY,slap house
545idYhdloaSlLGBY8E9u2,disco
545idYhdloaSlLGBY8E9u2,funk
545idYhdloaSlLGBY8E9u2,motown
545idYhdloaSlLGBY8E9u2,new jack swing
545idYhdloaSlLGBY8E9u2,p funk
545idYhdloaSlLGBY8E9u2,popping
545idYhdloaSlLGBY8E9u2,post-disco
545idYhdloaSlLGBY8E9u2,quiet storm
545idYhdloaSlLGBY8E9u2,soul
0q9kpdDkEA3H17gcRMjgVS,blues
0q9kpdDkEA3H17gcRMjgVS,chicago blues
0q9kpdDkEA3H17gcRMjgVS,delta blues
0q9kpdDkEA3H17gcRMjgVS,electric blues
